"AI_usage_freq","hours_online","AI_help_decisions","confident_in_AI_decisions","rely_on_AI","AI_clarity","second_guessing_self","AI_differs","AI_thinking_right_track","pause_to_check","AI_important_decisions","change_own_decisions","AI_influence_decisions_think","AI_persuasive","judgement_separation","rely_awareness","independent_without_AI","AI_influence_decisions","reflect_decision_style","conflicted_ab_influence","AI_effect_strength","AI_best_interest","clear_life_priorities","digital_effect_mind","AI_growing_role","age","gender","country","education","work_status","emotional_wellbeing","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values"
"Sometimes","7–8 hours",2,3,2,3,2,3,3,2,2,2,2,3,3,6,3,2,3,2,3,3,3,5,2,"25 - 34","Man","Canada","Bachelor’s degree","Employed full time",5,"0","0","1","0","1","0","0","0","1","0"
"Sometimes","2–4 hours",2,4,2,4,5,4,3,3,4,3,4,4,4,5,5,4,4,5,5,5,4,4,3,"55 - 65","Woman","UK","Other","Employed full time",5,"0","0","1","0","1","0","0","1","0","0"
"Very often","5–6 hours",3,4,6,6,5,6,6,7,5,5,5,4,4,6,5,6,4,5,5,5,7,6,5,"35 - 44","Woman","UK","High school","Employed part-time",5,"0","1","0","0","1","0","0","0","0","0"
"Never","2–4 hours",1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,3,1,"25 - 34","Man","US","Postgraduate degree","Employed full time",5,"0","1","1","0","0","0","0","0","0","0"
"Occasionally","5–6 hours",3,4,3,3,1,2,2,1,2,1,1,1,1,3,7,1,2,1,2,3,6,5,3,"25 - 34","Woman","UK","Bachelor’s degree","Employed full time",5,"0","0","0","0","1","0","0","1","1","0"
"Occasionally","2–4 hours",3,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,6,4,6,2,2,"Over 65","Man","UK","Some university/college","Employed full time",6,"0","0","0","0","0","0","0","0","0","0"
"Very often","5–6 hours",6,5,5,6,2,5,4,5,4,6,5,6,5,6,6,5,4,5,6,6,5,5,6,"45 - 54","Man","US","Bachelor’s degree","Employed full time",6,"0","0","0","0","0","0","0","1","0","0"
"Very often","2–4 hours",6,6,6,7,6,6,6,7,7,6,7,6,6,3,3,5,3,2,3,6,7,4,6,"35 - 44","Woman","UK","Bachelor’s degree","Employed full time",5,"0","1","0","0","0","0","1","1","0","0"
"Never","5–6 hours",1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,1,3,1,2,7,1,"25 - 34","Woman","UK","Bachelor’s degree","Employed part-time",3,"0","0","0","0","1","1","0","0","0","0"
"Occasionally","7–8 hours",1,5,5,6,1,5,1,1,5,3,2,1,1,6,6,1,4,1,6,6,6,1,3,"35 - 44","Woman","UK","Bachelor’s degree","Not currently working",3,"0","0","0","0","0","0","0","0","1","0"
